Web domain	Issue	Source corpus
machineseeker.hr	machine translation	Croatian (year 1)
mi.warbletoncouncil.org	foreign languages	Croatian (year 1)
haw.warbletoncouncil.org	foreign languages	Croatian (year 1)
bs.warbletoncouncil.org	machine translation	Croatian (year 1)
hr.eferrit.com	machine translation	Croatian (year 1)
game-game.com.hr	machine translation	Croatian (year 1)
hr.strephonsays.com	machine translation	Croatian (year 1)
haw.evidentista.org	foreign languages	Croatian (year 1)
hr.weblogographic.com	machine translation	Croatian (year 1)
moforaja.com	encoding issues	Croatian (year 1)
m.baibala.org	foreign languages	Croatian (year 1)
map.com.hr	"machine translation, non-textual, generated text"	Croatian (year 1)
ha.warbletoncouncil.org	machine translation	Croatian (year 1)
mi.evidentista.org	foreign languages	Croatian (year 1)
bs.evidentista.org	machine translation	Croatian (year 1)
yurope.com	encoding issues	Croatian (year 1)
ha.evidentista.org	foreign languages	Croatian (year 1)
hr.evidentista.org	machine translation	Croatian (year 1)
en.bharatdiscovery.org	foreign languages	Croatian (year 1)
storyboardthat.com	machine translation	Croatian (year 1)
hr.ovalengineering.com	machine translation	Croatian (year 1)
hr.odisseialiteraria.com	machine translation	Croatian (year 1)
aozeljeznicar.hr	encoding issues	Croatian (year 1)
fontovi.gifmania.com.hr	"non-textual, generated"	Croatian (year 1)
crnakutija.babe.hr	machine translation	Croatian (year 1)
hrv.beashandmade.com	machine translation	Croatian (year 1)
uspdr-delta.hr	encoding issues	Croatian (year 1)
yo.warbletoncouncil.org	machine translation	Croatian (year 1)
sciencedocbox.com	non-textual	Croatian (year 1)
hr.wpcbh.org	machine translation	Croatian (year 1)
hr.goldavelez.com	machine translation	Croatian (year 1)
hr.hiloved.com	machine translation	Croatian (year 1)
hr.aroundtravels.com	machine translation	Croatian (year 1)
hr.10steps.org	machine translation	Croatian (year 1)
ig.warbletoncouncil.org	machine translation	Croatian (year 1)
hr.energymedresearch.com	machine translation	Croatian (year 1)
sw.warbletoncouncil.org	machine translation	Croatian (year 1)
hr.ncmhcso.org	machine translation	Croatian (year 1)
hr.livingorganicnews.com	machine translation	Croatian (year 1)
hr.istanbulbear.org	machine translation	Croatian (year 1)
hr.drderamus.com	machine translation	Croatian (year 1)
bs.ncmhcso.org	machine translation	Croatian (year 1)
hr.decorexpro.com	machine translation	Croatian (year 1)
hr.wvpt4learning.org	machine translation	Croatian (year 1)
hr.iliveok.com	machine translation	Croatian (year 1)
